0,1,2,3,4,5,6,7,8,9,10,11,12,params
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,46,18.320039749145508,0.0067191123962402,7681670.0,14.6171875,292237,tensor(1.1028),0.09756847,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,47,18.11724853515625,0.0089375972747802,10576616.0,14.356611251831056,292243,tensor(1.8791),0.15346925,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,48,18.11724853515625,0.0094003677368164,13409024.0,14.356611251831056,292243,tensor(2.3269),0.16531052,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,49,18.099910736083984,0.007512092590332,16700180.0,14.33441925048828,292243,tensor(1.7891),0.12825188,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,50,18.079137802124023,0.007239818572998,18655244.0,14.307768821716309,292249,tensor(0.6449),0.06683069,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,51,17.98945426940918,0.0068068504333496,19288670.0,14.191746711730955,292255,tensor(0.5789),0.043001566,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,52,17.780426025390625,0.0067915916442871,20068166.0,13.919781684875488,292255,tensor(1.6206),0.12683365,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,53,17.707040786743164,0.0074670314788818,16171628.0,13.82619857788086,292267,tensor(1.8768),0.13053118,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,54,17.57383155822754,0.0069823265075683,12957032.0,13.648733139038086,292267,tensor(1.5777),0.10904685,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,55,17.425790786743164,0.0069952011108398,17243678.0,13.459839820861816,292273,tensor(1.4203),0.10204803,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,56,17.32059097290039,0.007481575012207,14418596.0,13.321989059448242,292279,tensor(1.8291),0.12350446,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,57,17.27894401550293,0.0076982975006103,9060608.0,13.264514923095703,292279,tensor(1.7366),0.11610716,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,58,17.207408905029297,0.0069916248321533,14029472.0,13.161715507507324,292285,tensor(1.8405),0.12061684,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,59,16.99287223815918,0.0067462921142578,14614196.0,12.88018035888672,292285,tensor(1.4180),0.09622739,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,60,16.99287223815918,0.0067296028137207,18121760.0,12.88018035888672,292285,tensor(1.7387),0.11329041,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,61,16.857084274291992,0.0064435005187988,20460308.0,12.69586944580078,292297,tensor(1.4508),0.09752465,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,62,16.770042419433594,0.0065340995788574,15199286.0,12.584884643554688,292303,tensor(1.3304),0.095501505,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,63,16.74493408203125,0.0067338943481445,12861242.0,12.535600662231444,876919,tensor(1.5878),0.10123802,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,64,16.53203582763672,0.0062849521636962,18415406.0,12.257099151611328,1169233,tensor(1.6363),0.11909699,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
StandardGSGP,cf5366bf-33d1-11f0-9ccc-88a4c2b6c82f,GSGP_sustavianfeed,52,65,16.53203582763672,0.0068020820617675,25723274.0,12.257099151611328,1169233,tensor(1.4566),0.097235546,2,"{'p_xo': 0.5, 'tournament_size': 3, 'prob_const': 0.1}"
